drug_name,reaction_term,case_count,prr,ror,prr_chi_square,serious_ratio,death_ratio,countries_count,source_proxy_count,passes_robust_filter,artifact_reason,robust_signal_score
IDARUBICIN,ACUTE MYELOID LEUKAEMIA RECURRENT,25,341.3776,345.4413,7874.7562,1.0,0.84,6,6,True,passes_robust_filter,796.2134859418763
OMNISCAN,NEPHROGENIC SYSTEMIC FIBROSIS,30,1371.8444,1384.4906,32682.3143,1.0,0.06666666666666667,7,7,True,passes_robust_filter,796.1362439422346
KYLEENA,DEVICE DISLOCATION,458,158.9648,172.1237,68654.772,0.9978165938864629,0.0,11,11,True,passes_robust_filter,795.858605377854
SUNITINIB,GASTROINTESTINAL STROMAL TUMOUR,22,1055.6427,1092.7069,21435.4169,1.0,0.18181818181818182,8,8,True,passes_robust_filter,793.3786448479766
BRIGATINIB,NEOPLASM PROGRESSION,112,130.1779,144.076,14136.8847,0.9821428571428571,0.16071428571428573,19,19,True,passes_robust_filter,791.8248350947914
LAMIVUDINE,DRUG RESISTANCE,446,66.6527,69.2013,27734.824,0.9887892376681614,0.006726457399103139,36,36,True,passes_robust_filter,790.5133244595204
SAMSCA,RAPID CORRECTION OF HYPONATRAEMIA,22,10107.9081,10181.9021,86082.5183,0.9545454545454546,0.09090909090909091,3,3,True,passes_robust_filter,790.2277197561205
VOTRIENT,SOFT TISSUE SARCOMA,25,331.7959,332.5133,6687.9711,1.0,0.56,9,9,True,passes_robust_filter,789.7289603255064
ZIDOVUDINE,HUMAN IMMUNODEFICIENCY VIRUS TRANSMISSION,33,1224.5825,1234.357,31444.5697,1.0,0.06060606060606061,7,7,True,passes_robust_filter,787.4531167481884
LYNPARZA,OVARIAN CANCER RECURRENT,45,380.6857,383.0707,14725.9584,1.0,0.13333333333333333,12,12,True,passes_robust_filter,787.4280784257711
XTANDI,PROSTATIC SPECIFIC ANTIGEN INCREASED,507,143.6569,147.6406,63525.7944,0.46745562130177515,0.055226824457593686,24,24,True,passes_robust_filter,787.3149089984083
VENCLYXTO,ACUTE MYELOID LEUKAEMIA,43,89.6062,91.8567,3653.2385,1.0,0.9302325581395349,13,13,True,passes_robust_filter,787.2315202334158
KOGENATE FS,HAEMARTHROSIS,143,1730.058,2061.9443,228579.26,1.0,0.0,3,3,True,passes_robust_filter,784.1369653725677
PENICILLIN G BENZATHINE,JARISCH-HERXHEIMER REACTION,9,8299.9258,8686.9223,61658.5652,1.0,0.0,7,7,True,passes_robust_filter,783.772053638893
RISPERDAL,GYNAECOMASTIA,2441,816.0122,937.2089,1143031.2982,0.12085210979106924,0.0020483408439164277,6,6,True,passes_robust_filter,783.6667664510438
